Datum;Erster;Hoch;Tief;Schlusskurs;Volumen
2017-12-29;12.980,09;12.980,74;12.911,73;12.917,64;1.905.806.208
2017-12-28;13.065,46;13.069,4;12.965,28;12.979,94;1.887.629.824
2017-12-27;13.070,19;13.128,74;13.020,43;13.070,02;1.889.042.304
2017-12-22;13.076,76;13.108,56;13.059,87;13.072,79;2.209.634.560
2017-12-21;13.065,79;13.137,71;13.013,63;13.109,74;2.903.895.040
2017-12-20;13.244,27;13.252,67;13.026,11;13.069,17;3.439.356.160
2017-12-19;13.314,73;13.338,91;13.213,19;13.215,79;2.952.139.008
2017-12-18;13.211,63;13.331,95;13.206,12;13.312,3;4.000.989.184
2017-12-15;13.027,84;13.109,13;13.008,07;13.103,56;8.472.455.168
2017-12-14;13.107,11;13.159,48;13.011,97;13.068,08;4.560.358.400
2017-12-13;13.148,52;13.188,07;13.120,4;13.125,64;3.855.428.608
2017-12-12;13.131,41;13.183,83;13.079,86;13.183,53;3.326.225.152
2017-12-11;13.181,85;13.192,42;13.112,82;13.123,65;3.050.822.656
2017-12-08;13.146,82;13.240,92;13.136,78;13.153,7;4.163.546.880
2017-12-07;13.026,3;13.083,08;12.989;13.045,15;3.186.448.384
2017-12-06;12.897,43;13.033,75;12.864,68;12.998,85;3.740.091.904
2017-12-05;13.056,82;13.094,38;12.960,59;13.048,54;3.666.279.168
2017-12-04;13.038,77;13.117,75;12.974,32;13.058,55;47.869.467.418
2017-12-01;13.044,15;13.064,29;12.810,13;12.861,49;5.229.842.432
2017-11-30;13.060,56;13.177,57;13.023,98;13.023,98;5.548.789.760
2017-11-29;13.153,74;13.196,15;13.037,34;13.061,87;4.140.328.448
2017-11-28;13.008,94;13.071,01;12.966,38;13.059,53;2.894.517.248
2017-11-27;13.036,74;13.117,76;12.989,37;13.000,2;2.782.367.744
2017-11-24;13.023,52;13.160,81;12.981,68;13.059,84;2.922.239.488
2017-11-23;12.943,49;13.049,08;12.921,15;13.008,55;2.835.995.392
2017-11-22;13.171,36;13.191,96;13.008,97;13.015,04;3.402.470.400
2017-11-21;13.042,94;13.209,01;13.026,77;13.167,54;4.453.454.336
2017-11-20;12.932,81;13.085,17;12.926,13;13.058,66;3.754.576.640
2017-11-17;13.051,71;13.089,72;12.984,67;12.993,73;4.207.133.440
2017-11-16;13.024,39;13.071,94;13.008,02;13.047,22;3.647.109.376
2017-11-15;12.963,09;12.996,12;12.847,88;12.976,37;4.432.092.672
2017-11-14;13.101,09;13.139,27;13.000,15;13.033,48;3.648.991.488
2017-11-13;13.150,78;13.163,94;12.960,65;13.074,42;3.943.703.296
2017-11-10;13.206,35;13.216,97;13.111,65;13.127,47;4.610.772.992
2017-11-09;13.378,96;13.402,05;13.175,22;13.182,56;5.662.209.024
2017-11-08;13.404,58;13.419,77;13.345,11;13.382,42;4.166.381.568
2017-11-07;13.517,98;13.525,56;13.369,85;13.379,27;3.757.120.768
2017-11-06;13.459,42;13.481,23;13.441,66;13.468,79;3.314.196.736
2017-11-03;13.476,53;13.505,01;13.430,22;13.478,86;3.667.738.368
2017-11-02;13.448,52;13.460,86;13.405,91;13.440,93;3.934.656.512
2017-11-01;13.342,44;13.488,59;13.341,3;13.465,51;5.515.625.984
2017-10-30;13.227,85;13.255,38;13.214,6;13.229,57;3.229.586.688
2017-10-27;13.186,55;13.249,03;13.186,55;13.217,54;4.845.038.080
2017-10-26;12.955,43;13.144,65;12.940,83;13.133,28;4.729.647.104
2017-10-25;12.998,44;13.049,47;12.931,22;12.953,41;3.460.115.200
2017-10-24;12.998,66;13.055,65;12.983,38;13.013,19;3.653.039.360
2017-10-23;13.014,57;13.069,4;12.973,43;13.003,14;2.843.679.744
2017-10-20;13.057,78;13.063,57;12.956,42;12.991,28;4.064.460.800
2017-10-19;13.036,28;13.042,62;12.911,58;12.990,1;3.730.923.008
2017-10-18;13.012,8;13.094,76;13.003,92;13.043,03;2.803.077.888
2017-10-17;12.995,84;13.034,42;12.967,35;12.995,06;2.883.256.320
2017-10-16;13.017,18;13.026,45;13.000,38;13.003,7;2.401.640.960
2017-10-13;12.995,08;13.036,74;12.964,35;12.991,87;2.750.633.728
2017-10-12;12.977,27;13.002,34;12.945,07;12.982,89;2.814.714.624
2017-10-11;12.965,28;12.976,32;12.925,24;12.970,68;2.694.313.472
2017-10-10;12.959,72;12.980,45;12.909,28;12.949,25;2.743.658.240
2017-10-09;12.975,86;12.996,64;12.943,55;12.976,4;2.230.376.448
2017-10-06;12.979,34;12.993,53;12.941,15;12.955,94;2.877.254.912
2017-10-05;12.950,18;12.969,4;12.933,56;12.968,05;3.257.734.400
2017-10-04;12.955,89;12.976,24;12.893,75;12.970,52;4.415.460.352
2017-10-02;12.866,27;12.902,65;12.849,59;12.902,65;2.997.632.512
2017-09-29;12.725,87;12.828,86;12.722,38;12.828,86;4.643.141.632
2017-09-28;12.682,37;12.708,7;12.666,03;12.704,65;3.131.373.824
2017-09-27;12.630,4;12.685,19;12.625,55;12.657,41;3.169.079.040
2017-09-26;12.557,44;12.629,93;12.551,87;12.605,2;3.113.453.568
2017-09-25;12.573,35;12.633,06;12.564,84;12.594,81;2.733.741.568
2017-09-22;12.569,66;12.646,56;12.568,8;12.592,35;2.943.187.456
2017-09-21;12.601,95;12.621,28;12.582,04;12.600,03;3.017.556.224
2017-09-20;12.550,92;12.593,25;12.518,22;12.569,17;2.994.879.488
2017-09-19;12.556,46;12.566,2;12.527,9;12.561,79;2.757.169.664
2017-09-18;12.593,55;12.613,56;12.537,07;12.559,39;2.313.112.576
2017-09-15;12.525,36;12.561,35;12.506,94;12.518,81;8.478.350.848
2017-09-14;12.524,12;12.552,16;12.499,55;12.540,45;3.496.504.576
2017-09-13;12.489,25;12.565,85;12.489,25;12.553,57;3.332.067.072
2017-09-12;12.527,44;12.558,03;12.512,59;12.524,77;3.249.353.984
2017-09-11;12.381,52;12.481,77;12.381,33;12.475,24;3.402.198.528
2017-09-08;12.261,81;12.321,61;12.245,33;12.303,98;2.494.710.784
2017-09-07;12.284,14;12.363,6;12.265,51;12.296,63;3.748.508.160
2017-09-06;12.071,9;12.260,76;12.066,84;12.214,54;3.502.238.720
2017-09-05;12.125,42;12.210,25;12.100,26;12.123,71;2.907.296.768
2017-09-04;12.051,8;12.138,41;12.050,53;12.102,21;1.721.647.488
2017-09-01;12.101,15;12.191,23;12.085,31;12.142,64;2.914.595.072
2017-08-31;12.098,57;12.115,55;12.034,18;12.055,84;3.191.564.032
2017-08-30;12.026,45;12.040,82;11.989,61;12.002,47;2.261.994.752
2017-08-29;12.031,12;12.032,32;11.868,84;11.945,88;3.785.704.960
2017-08-28;12.105,49;12.173,53;12.064,36;12.123,47;1.632.083.200
2017-08-25;12.194,73;12.249,44;12.132,5;12.167,94;2.310.819.072
2017-08-24;12.196,18;12.254,75;12.169,54;12.180,83;2.514.213.888
2017-08-23;12.227,23;12.269,92;12.155,74;12.174,3;28.639.865.905
2017-08-22;12.151,76;12.234,79;12.124,15;12.229,34;2.657.434.112
2017-08-21;12.105,72;12.149,58;12.021,7;12.065,99;2.467.628.544
2017-08-18;12.103,51;12.178,09;12.080,74;12.165,19;3.535.712.000
2017-08-17;12.236,6;12.290,05;12.184,27;12.203,46;2.679.685.888
2017-08-16;12.250,02;12.301,4;12.240,83;12.263,86;2.648.386.560
2017-08-15;12.208,3;12.234,64;12.156,87;12.177,04;2.171.902.208
2017-08-14;12.100,17;12.195,43;12.097;12.165,12;2.808.217.600
2017-08-11;11.961,6;12.046,89;11.934,92;12.014,06;3.398.780.416
2017-08-10;12.158,69;12.158,92;11.993,73;12.014,3;3.560.450.048
2017-08-09;12.191,37;12.227,52;12.100,12;12.154;3.881.572.864
2017-08-08;12.239,78;12.329,97;12.184,59;12.292,05;2.745.082.368
2017-08-07;12.305,74;12.336;12.225,77;12.257,17;2.685.603.072
2017-08-04;12.138,09;12.321,98;12.123,66;12.297,72;3.889.036.032
2017-08-03;12.130,76;12.184,6;12.099,13;12.154,72;3.325.780.224
2017-08-02;12.269,9;12.275;12.153,54;12.181,48;3.465.066.496
2017-08-01;12.147,89;12.302,38;12.092,06;12.251,29;3.475.139.328
